,Comparison.Concession.Arg1-as-denier,Comparison.Concession.Arg2-as-denier,Comparison.Contrast,Comparison.Similarity,Contingency.Cause+Belief.Reason+Belief,Contingency.Cause.Reason,Contingency.Cause.Result,Contingency.Condition.Arg2-as-cond,Contingency.Negative-condition.Arg1-as-negCond,Contingency.Negative-condition.Arg2-as-negCond,Contingency.Purpose.Arg2-as-goal,Expansion.Conjunction,Expansion.Disjunction,Expansion.Equivalence,Expansion.Exception.Arg1-as-excpt,Expansion.Instantiation.Arg2-as-instance,Expansion.Level-of-detail.Arg1-as-detail,Expansion.Level-of-detail.Arg2-as-detail,Expansion.Manner.Arg2-as-manner,Expansion.Substitution.Arg2-as-subst,Temporal.Asynchronous.Precedence,Temporal.Asynchronous.Succession,Temporal.Synchronous
Comparison.Concession.Arg1-as-denier,3.5242063492063496,79.98095238095244,0.5,0.9333333333333333,0.0,0.7583333333333333,7.069047619047619,0.7583333333333333,0.0,0.0,0.0,25.865476190476194,0.16666666666666666,0.0,0.0,1.2083333333333333,0.9761904761904762,15.435714285714289,0.0,2.5666666666666664,7.278571428571429,0.5472222222222223,0.9361111111111111
Comparison.Concession.Arg2-as-denier,3.5242063492063496,220.7900793650791,126.42777777777789,2.7,0.14285714285714285,10.408333333333333,26.87380952380952,0.9583333333333333,0.0,0.0,0.5,56.05357142857142,1.5333333333333334,0.75,0.0,3.5083333333333337,0.9761904761904762,32.57857142857141,0.43333333333333335,8.033333333333335,17.195238095238096,3.7829365079365087,5.171825396825398
Comparison.Contrast,0.0,140.57579365079366,125.92777777777789,1.1,0.14285714285714285,9.649999999999999,18.8047619047619,0.2,0.0,0.0,0.5,30.188095238095233,1.3666666666666665,0.75,0.0,2.3,0.0,17.142857142857142,0.0,5.466666666666667,9.916666666666668,3.235714285714286,3.235714285714286
Comparison.Similarity,0.0,0.23333333333333334,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.0,0.0,0.0,1.0
Contingency.Cause.Result,0.0,0.42857142857142855,0.8571428571428571,0.16666666666666666,0.0,0.0,9.40952380952381,0.0,0.0,0.0,0.0,1.5,0.14285714285714285,0.0,0.0,0.5595238095238095,0.0,0.9166666666666666,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0
Expansion.Conjunction,0.4107142857142857,3.0099206349206344,2.742063492063492,0.0,0.0,0.125,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.0,0.0,19.90396825396825,0.47619047619047616,0.0,0.16666666666666666,0.0,0.14285714285714285,1.7619047619047619,0.14285714285714285,0.73015873015873,0.16666666666666666,0.0,0.4107142857142857
Expansion.Instantiation.Arg2-as-instance,0.0,0.5,0.625,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.25,0.125,0.0,0.0,2.1845238095238093,0.0,0.25,0.0,0.25,0.0,0.2,0.2
Expansion.Level-of-detail.Arg1-as-detail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Expansion.Level-of-detail.Arg2-as-detail,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.357142857142857,0.0,0.0,0.0,0.0,0.0,1.7619047619047619,0.0,0.0,0.0,0.0,0.0
Expansion.Manner.Arg2-as-manner,0.0,0.23333333333333334,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.0,0.0,0.0,1.0
Expansion.Substitution.Arg2-as-subst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
Temporal.Asynchronous.Precedence,0.0,1.7999999999999998,1.786111111111111,0.5611111111111111,0.0,0.0,10.176190476190476,0.0,0.0,0.0,0.16666666666666666,3.496428571428571,0.95,0.5833333333333333,0.0,0.5333333333333333,0.0,2.407936507936508,0.0,2.1916666666666664,4.201190476190477,0.0,0.3472222222222222
Temporal.Synchronous,0.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
